rank,name,star_score,movies,average_billing
170,Liu Xuejian,90,1,3.0
171,Kumail Nanjiani,89,1,1.0
172,Lay Zhang,89,1,1.0
173,Eddie Redmayne,89,1,1.0
174,Gina Jin,89,1,2.0
175,Jude Law,89,1,2.0
176,Angelina Jolie,89,1,2.0
177,Richard Madden,89,1,3.0
178,Jesse Plemons,89,2,3.5
179,Dan Fogler,89,1,4.0
180,Alison Sudol,89,1,5.0
181,Lauren Ridloff,89,1,6.0
182,Callum Turner,89,1,6.0
183,Barry Keoghan,89,1,7.0
184,Lia McHugh,89,1,9.0
185,Jim Carrey,88,1,2.0
186,Rachel Weisz,88,1,3.0
187,James Marsden,88,1,5.0
188,Ray Winstone,88,1,5.0
189,Tika Sumpter,88,1,6.0
190,Lee Majdoub,88,1,7.0
191,Natasha Rothwell,88,1,8.0
192,O.T. Fagbenle,88,1,8.0
193,Shemar Moore,88,1,9.0
194,Mark Wahlberg,87,1,2.0
195,Michael Shannon,87,2,7.5
196,Noah Centineo,86,1,2.0
197,Evangeline Lilly,86,1,2.0
198,Aldis Hodge,86,1,3.0
199,Jonathan Majors,86,1,3.0
200,Andrew Koji,86,2,3.5
201,Kathryn Newton,86,1,4.0
202,Quintessa Swindell,86,1,4.0
203,Pierce Brosnan,86,1,5.0
204,Michelle Pfeiffer,86,1,6.0
205,Michael Douglas,86,1,7.0
206,Bill Skarsgård,85,1,2.0
207,Ian McShane,85,1,4.0
208,Shamier Anderson,85,1,5.0
209,Laurence Fishburne,85,1,6.0
210,Rina Sawayama,85,1,7.0
211,Clancy Brown,85,1,9.0
212,Lance Reddick,85,1,10.0
213,Chang Yuan,84,2,2.0
214,Shah Rukh Khan,83,2,1.0
215,Austin Butler,83,1,1.0
216,Dominique Fishback,83,1,2.0
217,Jason Schwartzman,82,2,2.5
218,Melissa Barrera,82,2,3.0
219,Harrison Ford,81,1,1.0
220,Phoebe Waller-Bridge,81,1,2.0
221,Antonio Banderas,81,1,3.0
222,Edgar Ramirez,81,1,3.0
223,John Rhys-Davies,81,1,4.0
224,Toby Jones,81,1,5.0
225,Boyd Holbrook,81,1,6.0
226,Paul Giamatti,81,1,6.0
227,Ethann Isidore,81,1,7.0
228,Mads Mikkelsen,81,1,8.0
229,Vera Farmiga,80,1,2.0
230,Joey King,80,1,2.0
231,Aaron Taylor-Johnson,80,1,3.0
232,Bad Bunny,80,1,8.0
233,Tom Blyth,79,1,1.0
234,Carrie Coon,79,1,1.0
235,Enyou Yang,79,1,2.0
236,Finn Wolfhard,79,1,2.0
237,Hunter Schafer,79,1,3.0
238,Mckenna Grace,79,1,3.0
239,Peter Dinklage,79,1,5.0
240,Josh Andrés Rivera,79,1,6.0
241,Celeste O’ Conner,79,1,6.0
242,Logan Kim,79,1,7.0
243,Yuan Quan,78,1,2.0
244,Junkai Wang,78,1,2.0
245,Taylor Swift,78,2,6.0
246,Adam Driver,77,2,1.5
247,Yu Hewei,77,1,2.0
248,Amanda Qin,77,1,3.0
249,Yawen Zhu,77,1,4.0
250,Liu Hao Cun,77,1,5.0
251,Sosie Bacon,76,1,1.0
252,Matthew Lillard,76,1,1.0
253,Yang Xiao,76,1,1.0
254,Yahya Abdul-Mateen II,76,2,2.0
255,Simon Yam,76,1,2.0
256,Jessie Usher,76,1,2.0
257,Josh Hutcherson,76,1,2.0
258,Kyle Gallner,76,1,3.0
259,Robin Weigert,76,1,4.0
260,Caitlin Stasey,76,1,5.0
261,Kal Penn,76,1,6.0
262,Rob Morgan,76,1,7.0
263,Michael B. Jordan,74,1,1.0
264,Joel Kinnaman,74,1,3.0
265,Harris Dickinson,74,2,3.5
266,Jai Courtney,74,1,4.0
267,Peter Capaldi,74,1,31.0
268,LeBron James,73,1,1.0
269,Xuan Huang,73,2,1.5
270,Diana Taurasi,73,1,3.0
271,Damian Lillard,73,1,4.0
272,Nneka Ogwumike,73,1,5.0
273,Anthony Davis,73,1,6.0
274,Klay Thompson,73,1,7.0
275,Taissa Farmiga,72,1,1.0
276,Sandra Bullock,72,1,1.0
277,Daniel Radcliffe,72,1,3.0
278,Oscar Nuñez,72,1,4.0
279,Da’Vine Joy Randolph,72,1,5.0
280,Patti Harrison,72,1,6.0
281,Allison Williams,71,1,1.0
282,Violet McGraw,71,1,2.0
283,Amie Donald,71,1,4.0
284,Daniel Kaluuya,70,1,1.0
285,Keke Palmer,70,1,2.0
286,Steven Yeun,70,1,3.0
287,James Caviezel,69,1,1.0
288,George Clooney,69,1,1.0
289,Lady Gaga,69,1,1.0
290,Julia Roberts,69,1,2.0
