rank,name,star_score,movies,average_billing
1,Ma Li,303,5,1.6
2,Shen Teng,271,3,1.0
3,Glen Powell,247,3,2.0
4,Timothée Chalamet,242,3,1.0
5,Lei Jiayin,242,4,1.8
6,Jason Statham,240,3,3.3
7,Zoe Saldana,204,3,3.3
8,Dave Bautista,197,3,3.7
9,Chris Pratt,195,2,1.0
10,Tom Cruise,190,2,1.0
11,Wu Jing,182,2,1.5
12,Jason Momoa,180,2,2.5
13,Jim Carrey,179,2,3.5
14,James Marsden,179,2,6.5
15,Lee Majdoub,179,2,6.5
16,Tika Sumpter,179,2,7.5
17,Natasha Rothwell,179,2,9.0
18,Shemar Moore,179,2,10.0
19,Austin Butler,178,2,3.0
20,Antonio Banderas,177,3,3.7
21,Aaron Taylor-Johnson,176,3,2.7
22,Patrick Wilson,175,3,1.7
23,Brian Tyree Henry,173,2,3.0
24,Lupita Nyong'o,171,2,1.5
25,Ryan Gosling,169,2,1.5
26,Ryan Reynolds,169,2,1.5
27,Jackson Yee,168,2,1.5
28,Florence Pugh,168,3,3.0
29,Zhu Yilong,167,2,1.0
30,Wang Yibo,167,4,1.8
31,Kingsley Ben-Adir,167,2,8.5
32,Anthony Ramos,165,2,2.0
33,Hiroyuki Sanada,165,2,7.0
34,Ezra Miller,162,2,2.0
35,Joseph Quinn,162,2,3.5
36,Emma Mackey,161,2,9.0
37,Paul Rudd,159,2,1.0
38,Bill Murray,159,2,4.5
39,Michelle Rodriguez,159,2,4.5
40,Chris Hemsworth,158,2,1.5
41,Dwayne Johnson,157,2,1.0
42,Brie Larson,157,2,7.5
43,Letitia Wright,156,2,7.0
44,Willem Dafoe,156,3,10.0
45,Viola Davis,155,3,5.0
46,Bill Skarsgård,153,2,1.5
47,Margot Robbie,147,4,5.8
48,Denzel Washington,146,2,2.5
49,Daisy Edgar-Jones,145,2,1.5
50,Dua Lipa,144,2,9.5
51,Donnie Yen,143,2,2.0
52,Channing Tatum,142,4,1.5
53,Bryce Dallas Howard,142,2,2.0
54,Andy Lau,140,4,1.8
55,John Cena,140,2,8.5
56,Joaquin Phoenix,139,2,1.0
57,Jenna Ortega,139,2,3.5
58,Zendaya,138,2,1.5
59,Cailee Spaeny,138,2,2.0
60,Wei Xiang,129,2,2.5
61,Catherine O'Hara,129,2,4.5
62,Rachel Zegler,125,2,2.0
63,Colin Farrell,123,2,2.0
64,Brad Pitt,117,2,1.0
65,Lucy Alexis Liu,117,2,5.0
66,Hugh Bonneville,116,2,1.0
67,Courteney Cox,116,2,1.5
68,Paul Dano,115,2,3.0
69,Janice Man,115,2,3.5
70,Sydney Sweeney,114,2,1.5
71,Anya Taylor-Joy,113,3,2.7
72,Zhang Yi,109,2,1.0
73,Nicholas Hoult,109,2,2.5
74,Russell Crowe,108,2,3.0
75,Ariana Greenblatt,108,2,13.0
76,Halle Bailey,106,2,4.0
77,Samuel L. Jackson,105,2,6.0
78,Chengpeng Dong (董成鹏),101,3,1.0
79,Sam Worthington,101,2,1.5
80,Christian Bale,100,2,1.5
81,Will Ferrell,100,1,3.0
82,Alexandra Shipp,100,1,4.0
83,Kate McKinnon,100,1,5.0
84,Ana Kayne,100,1,6.0
85,Hari Nef,100,1,7.0
86,Issa Rae,100,1,10.0
87,Ritu Arya,100,1,11.0
88,Michael Cera,100,1,12.0
89,Nicola Coughlan,100,1,14.0
90,Sharon Rooney,100,1,15.0
91,Ncuti Gatwa,100,1,17.0
92,Simu Liu,100,1,18.0
93,Scott Evans,100,1,19.0
94,Emerald Fennell,100,1,20.0
95,Jamie Demetriou,100,1,21.0
96,Connor Swindells,100,1,22.0
97,America Ferrera,100,1,23.0
98,Hugh Jackman,99,1,2.0
99,Miles Teller,99,1,2.0
100,Lewis James Pullman,99,1,4.0
101,Monica Barbaro,99,1,5.0
102,Danny Ramirez,99,1,6.0
103,Jay Ellis,99,1,7.0
104,Greg Tarzan Davis,99,1,8.0
105,Jon Hamm,99,1,9.0
106,Cillian Murphy,98,1,1.0
107,Junkai Wang,98,2,1.5
108,Kenneth Branagh,98,2,2.0
109,Benedict Cumberbatch,97,1,1.0
110,Elizabeth Olsen,97,1,2.0
111,Chiwetel Ejiofor,97,1,3.0
112,Karen Gillan,97,1,4.0
113,Benedict Wong,97,1,4.0
114,Xochitl Gomez,97,1,5.0
115,Michelle Yeoh,97,2,5.0
116,Pom Klementieff,97,1,5.0
117,Michael Stuhlbarg,97,1,6.0
118,Rachel McAdams,97,1,7.0
119,Sean Gunn,97,1,8.0
120,Vin Diesel,96,1,1.0
121,Louis Koo,96,2,1.0
122,Cynthia Erivo,96,1,1.0
123,Ariana Grande,96,1,2.0
124,Jordana Brewster,96,1,2.0
125,Daniela Melchior,96,1,3.0
126,Tyrese Gibson,96,1,5.0
127,Sung Kang,96,1,6.0
128,Chris ‘Ludacris’ Bridges,96,1,10.0
129,Alan Ritchson,96,1,11.0
130,Scott Eastwood,96,1,12.0
131,Charlize Theron,96,1,13.0
132,Rebecca Ferguson,95,1,3.0
133,Danai Gurira,95,1,3.0
134,Winston Duke,95,1,4.0
135,Josh Brolin,95,1,4.0
136,Dominique Thorne,95,1,5.0
137,Florence Kasumba,95,1,6.0
138,Michaela Coel,95,1,7.0
139,Kristofer Hivju,95,2,7.5
140,Christopher Walken,95,1,8.0
141,Tenoch Huerta,95,1,8.0
142,Lea Seydoux,95,1,9.0
143,Martin Freeman,95,1,9.0
144,Stellan Skarsgård,95,1,10.0
145,Angela Bassett,95,1,10.0
146,Charlotte Rampling,95,1,11.0
147,Robert Pattinson,94,1,1.0
148,Zoë Kravitz,94,1,2.0
149,Yi Zhang,94,1,3.0
150,Yue Yunpeng,94,1,5.0
151,Rebecca Hall,93,1,1.0
152,Dan Stevens,93,1,3.0
153,Tessa Thompson,93,1,3.0
154,Kaylee Hottle,93,1,4.0
155,Taika Waititi,93,1,4.0
156,Fala Chen,93,1,5.0
157,Natalie Portman,93,1,6.0
158,Alex Ferns,93,1,6.0
159,Jonah Hauer-King,92,1,2.0
160,Javier Bardem,92,1,7.0
161,Melissa McCarthy,92,1,8.0
162,Krysten Ritter,91,1,7.0
163,Jia Ling,90,1,1.0
164,Mary Ma,90,1,2.0
165,Liu Xuejian,90,1,3.0
166,Lay Zhang,89,1,1.0
167,Tom Hardy,89,1,1.0
168,Eddie Redmayne,89,1,1.0
169,Jude Law,89,1,2.0
170,Gina Jin,89,1,2.0
171,Dan Fogler,89,1,4.0
172,Hugh Grant,89,2,4.5
173,Alison Sudol,89,1,5.0
174,Callum Turner,89,1,6.0
175,Ni Ni,88,1,2.0
176,Ralph Fiennes,87,2,1.0
177,Tom Holland,87,1,1.0
178,Mark Wahlberg,87,1,2.0
179,Tina Fey,87,2,5.5
180,Michael Shannon,87,2,7.5
181,Paul Mescal,86,1,1.0
182,Evangeline Lilly,86,1,2.0
183,Pedro Pascal,86,1,2.0
184,Noah Centineo,86,1,2.0
185,Aldis Hodge,86,1,3.0
186,Jonathan Majors,86,1,3.0
187,Connie Nielsen,86,1,3.0
188,Quintessa Swindell,86,1,4.0
189,Kathryn Newton,86,1,4.0
190,Pierce Brosnan,86,1,5.0
191,Fred Hechinger,86,1,6.0
192,Michelle Pfeiffer,86,1,6.0
193,Michael Douglas,86,1,7.0
194,Keanu Reeves,85,1,1.0
195,Michael Keaton,85,1,1.0
196,Winona Ryder,85,1,2.0
197,Ian McShane,85,1,4.0
198,Shamier Anderson,85,1,5.0
199,Justin Theroux,85,1,5.0
200,Laurence Fishburne,85,1,6.0
201,Monica Bellucci,85,1,6.0
202,Rina Sawayama,85,1,7.0
203,Clancy Brown,85,1,9.0
204,Lance Reddick,85,1,10.0
205,Will Smith,84,1,1.0
206,Chang Yuan,84,2,2.0
207,Martin Lawrence,84,1,2.0
208,David Harbour,83,2,1.0
209,Shah Rukh Khan,83,2,1.0
210,Dominique Fishback,83,1,2.0
211,Freya Allan,83,1,2.0
212,Jason Schwartzman,82,2,2.5
213,Harrison Ford,81,1,1.0
214,Phoebe Waller-Bridge,81,1,2.0
215,John Rhys-Davies,81,1,4.0
216,Toby Jones,81,1,5.0
217,Boyd Holbrook,81,1,6.0
218,Ethann Isidore,81,1,7.0
219,Mads Mikkelsen,81,1,8.0
220,Blake Lively,80,1,1.0
