rank,name,star_score,movies,average_billing
221,Joey King,80,1,2.0
222,Andrew Koji,80,1,5.0
223,Bad Bunny,80,1,8.0
224,Tom Blyth,79,1,1.0
225,Enyou Yang,79,1,2.0
226,Hunter Schafer,79,1,3.0
227,Peter Dinklage,79,1,5.0
228,Josh Andrés Rivera,79,1,6.0
229,Wang Baoqiang,78,1,1.0
230,Taylor Swift,78,2,6.0
231,Sosie Bacon,76,1,1.0
232,Matthew Lillard,76,1,1.0
233,Jessie Usher,76,1,2.0
234,Josh Hutcherson,76,1,2.0
235,Kyle Gallner,76,1,3.0
236,Robin Weigert,76,1,4.0
237,Caitlin Stasey,76,1,5.0
238,Kal Penn,76,1,6.0
239,Rob Morgan,76,1,7.0
240,Michael B. Jordan,74,1,1.0
241,Don Lee,74,2,1.0
242,Lady Gaga,74,1,2.0
243,Ethan Juan,73,2,1.5
244,Ernie Hudson,73,1,2.0
245,Dan Aykroyd,73,1,3.0
246,Finn Wolfhard,73,1,5.0
247,Carrie Coon,73,1,6.0
248,Mckenna Grace,73,1,7.0
249,Sandra Bullock,72,1,1.0
250,Taissa Farmiga,72,1,1.0
251,Daniel Radcliffe,72,1,3.0
252,Oscar Nuñez,72,1,4.0
253,Da’Vine Joy Randolph,72,1,5.0
254,Patti Harrison,72,1,6.0
255,Allison Williams,71,1,1.0
256,Chris Evans,71,1,2.0
257,Violet McGraw,71,1,2.0
258,Kiernan Shipka,71,1,3.0
259,J.K. Simmons,71,1,4.0
260,Amie Donald,71,1,4.0
261,Bonnie Hunt,71,1,5.0
262,Cailey Fleming,70,1,1.0
263,Daniel Kaluuya,70,1,1.0
264,Keke Palmer,70,1,2.0
265,Yoo Hai-Jin,70,2,2.5
266,Steven Yeun,70,1,3.0
267,John Krasinski,70,1,3.0
268,George Clooney,69,1,1.0
269,James Caviezel,69,1,1.0
270,Julia Roberts,69,1,2.0
271,Emily Blunt,69,1,2.0
272,Jared Leto,68,1,1.0
273,Lily-Rose Depp,68,1,3.0
274,Emma Corrin,68,1,5.0
275,Ethan Hawke,67,1,1.0
276,Emily Mortimer,66,1,2.0
277,Julie Walters,66,1,3.0
278,Olivia Colman,66,1,4.0
279,Avantika,66,2,4.0
280,Ram Charan,65,1,1.0
281,N T Rama Rao Jr,65,1,2.0
282,Owen Wilson,64,2,2.5
283,Chris Pine,63,1,1.0
284,Rege-Jean Page,63,1,3.0
285,Justice Smith,63,1,4.0
286,Sophia Lillis,63,1,5.0
287,Chloe Coleman,63,1,6.0
288,Daisy Head,63,1,7.0
289,Neve Campbell,62,1,1.0
290,Tom Hanks,62,2,2.0
291,David Arquette,62,1,3.0
292,Tom Bateman,61,1,1.0
293,Teyonah Parris,61,1,2.0
294,Annette Bening,61,1,2.0
295,Russell Brand,61,1,4.0
296,Iman Vellani,61,1,4.0
297,Ali Fazal,61,1,5.0
298,Dawn French,61,1,6.0
299,Gal Gadot,61,1,7.0
300,Armie Hammer,61,1,8.0
301,Rose Leslie,61,1,9.0
302,Sophie Okonedo,61,1,11.0
303,Jennifer Saunders,61,1,12.0
304,Ann Turkel,61,1,14.0
305,Naomi Scott,60,1,1.0
306,Huang Bo,60,2,1.0
307,Nicolas Cage,60,2,1.5
308,Robert De Niro,60,2,8.5
309,Winslow Fegley,58,1,1.0
310,Ty Simpkins,58,1,2.0
311,Kirsten Dunst,57,1,1.0
312,Wagner Moura,57,1,2.0
313,Guy-hwa Choi,57,1,2.0
314,Son Sukku,57,1,3.0
315,Stephen McKinley Henderson,57,1,4.0
316,Nick Offerman,57,1,5.0
317,Sonoya Mizuno,57,1,6.0
318,Tony Revolori,57,2,13.5
319,Lau Ching-wan,56,1,1.0
320,Raymond Lam,56,1,2.0
321,Bai Ke,56,1,2.0
322,Sophie Wilde,56,2,2.5
323,Sabrina Zhuang,56,1,3.0
324,Jamie Lee Curtis,55,1,1.0
325,Qiao Shan,55,1,1.0
326,Maika Monroe,55,1,1.0
327,Chengcheng Fan,55,1,2.0
328,Zhang Jingyi,55,1,4.0
329,Dermot Mulroney,54,1,2.0
330,Carina Lau,54,1,2.0
331,Melissa Barrera,54,1,3.0
332,Jasmin Savoy Brown,54,1,5.0
333,Mason Gooding,54,1,6.0
334,Hayden Panettiere,54,1,7.0
335,Samara Weaving,54,1,9.0
336,Jack Champion,54,1,10.0
337,Liana Liberato,54,1,11.0
338,Devyn Nekoda,54,1,12.0
339,Josh Segarra,54,1,14.0
340,Leonardo DiCaprio,53,1,1.0
341,Anne Hathaway,53,1,1.0
342,Jeremy Strong,53,1,2.0
343,Michael Banks Repeta,53,1,3.0
344,Jaylin Webb,53,1,4.0
345,Anthony Hopkins,53,1,5.0
346,Alyssa Sutherland,52,1,1.0
347,Hwang Jung-min,52,2,1.0
348,Lily Sullivan,52,1,2.0
349,Jia Bing (贾冰),51,1,1.0
350,Han Geng,51,1,1.0
351,Tan Zhuo,51,1,2.0
352,Ryan Zheng Kai,51,1,2.0
353,Shenyang Xiao,51,1,3.0
354,Yang Yu (于洋),51,1,4.0
355,Baoshi Dong,51,1,5.0
356,Angourie Rice,50,1,1.0
357,Tony Leung,50,1,1.0
358,Naomi Ackie,50,2,1.0
359,Laura Carmichael,50,1,2.0
360,Auli'i Cravalho,50,1,2.0
361,Jim Carter,50,1,3.0
362,Renée Rapp,50,1,3.0
363,Jaquel Spivey,50,1,4.0
364,Brendan Coyle,50,1,4.0
365,Michelle Dockery,50,1,5.0
366,Bebe Wood,50,1,6.0
367,Kevin Doyle,50,1,6.0
368,Christopher Briney,50,1,7.0
369,Joanne Froggatt,50,1,7.0
370,Harry Hadden-Paton,50,1,8.0
371,Rob James-Collier,50,1,9.0
372,Tim Meadows,50,1,9.0
373,Allen Leech,50,1,10.0
374,Phyllis Logan,50,1,11.0
375,Elizabeth McGovern,50,1,12.0
376,Sophie McShera,50,1,13.0
377,Tuppence Middleton,50,1,14.0
378,Lesley Nicol,50,1,15.0
379,Douglas Reith,50,1,16.0
380,David Robb,50,1,17.0
381,Maggie Smith,50,1,18.0
382,Imelda Staunton,50,1,19.0
383,Dominic West,50,1,20.0
384,Penelope Wilton,50,1,21.0
385,Jonathan Zaccaï,50,1,22.0
386,Zhang Yu,49,1,1.0
387,Olivia Marcum,49,1,1.0
388,Lidya Jewett,49,1,2.0
389,Dakota Johnson,48,1,1.0
390,Celeste O’Connor,48,1,3.0
391,Isabela Merced,48,1,4.0
392,Tahar Rahim,48,1,5.0
393,Liu Haoran,47,1,1.0
394,Liu Haocun,47,1,2.0
395,Bryan Cranston,47,2,5.0
396,Zachary Levi,46,1,1.0
397,Stanley Tucci,46,1,2.0
398,John Lithgow,46,1,3.0
399,Helen Mirren,46,1,3.0
400,Isabella Rossellini,46,1,4.0
401,Xolo Maridueña,45,1,1.0
402,Adriana Barraza,45,1,2.0
403,Damian Alcazar,45,1,3.0
404,Raoul Trujillo,45,1,4.0
405,Susan Sarandon,45,1,5.0
406,George Lopez,45,1,6.0
407,Bruna Marquezine,45,1,34.0
408,Henry Cavill,44,1,1.0
409,Sam Rockwell,44,1,3.0
410,Ariana DeBose,44,1,7.0
411,Tobin Bell,43,1,1.0
412,Harris Dickinson,43,2,1.5
413,Shawnee Smith,43,1,2.0
414,Mike Faist,43,1,2.0
415,Josh O’Connor,43,1,3.0
416,Minami Takayama,42,1,1.0
417,Sammo Hung Kam-Bo,42,1,2.0
418,Tang Guoqiang,41,1,1.0
419,Jung Woo-sung,41,2,2.0
420,Gingle Wang,41,1,2.0
421,Lee-Zen Lee,41,1,3.0
422,Choi Min-sik,40,1,1.0
423,Kim Go-eun,40,1,2.0
424,John David Washington,40,2,2.0
425,Orlando Bloom,40,1,2.0
426,Archie Madekwe,40,1,3.0
427,Lee Do-Hyun,40,1,4.0
428,Josh Hartnett,39,1,1.0
429,Alexander Skarsgård,38,1,1.0
430,Lakeith Lee Stanfield,38,1,1.0
431,Tiffany Haddish,38,1,2.0
432,Danny DeVito,38,1,4.0
433,Rosario Dawson,38,1,5.0
434,Margaret Qualley,37,1,1.0
435,Jamie Dornan,37,1,2.0
436,Demi Moore,37,1,2.0
437,Diego Calva,37,1,3.0
438,Dennis Quaid,37,1,3.0
439,Jude Hill,37,1,4.0
440,Jean Smart,37,1,4.0
441,Jovan Adepo,37,1,5.0
442,Ali Khan,37,1,5.0
443,Li Jun Li,37,1,6.0
444,Emma Laird,37,1,6.0
445,Kelly Reilly,37,1,7.0
446,Riccardo Scamarcio,37,1,8.0
447,Kyle Allen,37,1,10.0
448,Emma Stone,36,1,1.0
449,James McAvoy,36,1,1.0
450,Chia-yen Ko,36,1,1.0
451,Greg Hsu (许光汉),36,1,2.0
452,David Howard Thornton,35,1,1.0
453,Ryunosuke Kamiki,34,1,1.0
454,Johnny Huang,34,1,1.0
455,Idris Elba,34,1,1.0
456,Iyana Halley,34,1,2.0
457,Leah Jeffries,34,1,3.0
458,Chuxi Zhong,34,1,3.0
459,Peng Yuchang,33,1,1.0
460,Halle Berry,33,1,1.0
461,Zhou Ye,33,1,2.0
462,Gemma Chan,33,1,2.0
463,Ken Watanabe,33,1,3.0
464,John Bradley,33,1,3.0
465,Sturgill Simpson,33,1,4.0
466,Allison Janney,33,1,5.0
467,Madeleine Yuna Voyles,33,1,6.0
468,Hae-Il Park,32,1,1.0
469,Nick Cheung,32,1,1.0
470,Xueqin Li (李雪琴),32,1,2.0
471,Yin Zheng,32,1,3.0
472,Wang Xun,32,1,4.0
473,Shengdi Wang (王圣迪),32,1,5.0
474,Brendan Fraser,31,1,1.0
475,Yang Xiao,31,1,1.0
476,Zhao Liying,31,1,2.0
477,Liu Ye,31,1,3.0
478,Nicole Kidman,30,1,1.0
479,Hyun Bin,30,1,1.0
480,Im Yoon-ah,30,1,3.0
481,Daniel Henney,30,1,4.0
482,Jin Sun-kyu,30,1,5.0
483,Brendan Gleeson,29,1,2.0
484,Eiza González,28,1,1.0
485,Zhang Xiaofei,28,2,1.5
486,Jake Gyllenhaal,28,1,2.0
487,Yahya Abdul-Mateen II,28,1,3.0
488,Zhang Hanyu,27,1,1.0
489,Xuan Huang,27,1,2.0
490,Jason Koo,27,1,5.0
491,Jennifer Lopez,26,1,1.0
492,Alisha Weir,26,2,1.0
493,Zhang Youhao,26,2,3.0
494,Andrew Garfield,25,1,1.0
495,Matt Damon,25,1,1.0
496,Ranbir Kapoor,25,1,1.0
497,Ben Affleck,25,1,2.0
498,Alia Bhatt,25,1,2.0
499,Jason Bateman,25,1,3.0
500,Marlon Wayans,25,1,4.0
501,Isabelle Fuhrman,25,2,4.0
502,Chris Messina,25,1,5.0
503,Chris Tucker,25,1,6.0
504,Keri Russell,24,1,1.0
505,Wyatt Russell,24,1,1.0
506,"O'Shea Jackson, Jr.",24,1,2.0
507,Kerry Condon,24,1,2.0
508,Julia Stiles,24,1,2.0
509,Christian Convery,24,1,3.0
510,Amélie Hoeferle,24,1,3.0
511,Gavin Warren,24,1,4.0
512,Alden Ehrenreich,24,1,4.0
513,Jesse Tyler Ferguson,24,1,5.0
514,Brooklynn Prince,24,1,6.0
515,"Isiah Whitlock, Jr.",24,1,7.0
516,Hannah Hoekstra,24,1,9.0
517,Aaron Holliday,24,1,10.0
518,Margo Martindale,24,1,11.0
519,Ray Liotta,24,1,12.0
520,Georgina Campbell,23,1,1.0
521,Nell Tiger Free,23,1,1.0
522,Sonia Braga,23,1,3.0
523,Jacqueline Byers,22,1,1.0
524,Jung Hae-in,22,1,2.0
525,Jennifer Lawrence,21,1,1.0
526,Michelle Williams,21,1,1.0
527,Andrew Barth Feldman,21,1,2.0
528,Seth Rogen,21,1,3.0
529,Gabriel LaBelle,21,1,4.0
530,Julia Butters,21,1,5.0
531,Sophie Thatcher,20,1,1.0
532,Miao Miao,20,1,2.0
533,Vivien Lyra Blair,20,1,2.0
534,Marisa Abela,19,1,1.0
535,Tony Leung Chiu Wai,19,1,1.0
536,Xu Zheng,17,1,1.0
537,Lee Jun-hyeok,17,1,2.0
538,Gordon Lam,17,2,2.0
539,Munetaka Aoki,17,1,3.0
540,Harriet Slater,16,1,1.0
541,Adain Bradley,16,1,2.0
542,Zhou Xun,16,1,2.0
543,Jacob Batalon,16,1,4.0
544,Nathalie Emmanuel,15,1,1.0
545,Thomas Doherty,15,1,2.0
546,Madelaine Petsch,14,1,1.0
547,Taraji P. Henson,14,1,1.0
548,Danielle Brooks,14,1,2.0
549,Froy Gutierrez,14,1,2.0
550,Colman Domingo,14,1,3.0
551,Phylicia Pearl Mpasi,14,1,4.0
552,Corey Hawkins,14,1,5.0
553,H.E.R.,14,1,6.0
554,Fantasia Barrino,14,1,8.0
555,Charlbi Dean,13,1,2.0
556,Zhang Songwen,13,1,3.0
557,Woody Harrelson,13,1,3.0
558,Zlatko Buric,13,1,4.0
559,Qi Xi,13,1,4.0
560,Adrien Brody,13,2,4.5
561,Sunny Sun,13,1,5.0
562,Iris Berben,13,1,5.0
563,Sunnyi Melles,13,1,6.0
564,Henrik Dorsin,13,1,7.0
565,Dolly De Leon,13,1,8.0
566,Vicky Berlin,13,1,9.0
567,Oliver Ford Davies,13,1,10.0
568,Mikey Madison,11,1,1.0
569,Ni Dahong,11,1,1.0
570,Jung-Jae Lee,11,1,1.0
571,Kara Wai Ying-hung,11,1,2.0
572,Tony Leung Ka Fai,11,1,3.0
573,Cecilia Yip,11,1,4.0
574,Lesley Manville,9,1,1.0
575,DeWanda Wise,9,1,1.0
576,Pyper Braun,9,1,2.0
577,Salma Hayek,9,1,2.0
578,Adam Driver,8,1,1.0
579,Milos Bikovic,8,1,1.0
580,Aglaya Tarasova,8,1,2.0
581,Chris Rock,7,1,4.0
582,Mike Myers,7,1,7.0
583,Timothy Olyphant,7,1,9.0
584,Andrea Riseborough,7,1,10.0
585,Matthias Schoenaerts,7,1,12.0
586,Alessandro Nivola,7,1,13.0
587,Rami Malek,7,1,14.0
588,Jackie Chan,6,1,1.0
589,Cate Blanchett,6,1,1.0
590,Jonathan Groff,5,1,2.0
591,Ben Aldridge,5,1,3.0
592,Nikki Amuka-Bird,5,1,4.0
593,Dayo Wong,4,1,1.0
594,Kwan-ho Tse (谢君豪),4,1,2.0
595,Judy Greer,3,1,1.0
596,Scarlett Johansson,3,1,2.0
597,Pete Holmes,3,1,2.0
598,Molly Belle Wright,3,1,3.0
599,Jeffrey Wright,3,1,4.0
600,Tilda Swinton,3,1,5.0
601,Edward Norton,3,1,7.0
602,Liev Schreiber,3,1,9.0
603,Hope Davis,3,1,10.0
604,Stephen Park,3,1,11.0
605,Rupert Friend,3,1,12.0
606,Maya Hawke,3,1,13.0
607,Steve Carell,3,1,14.0
608,Matt Dillon,3,1,15.0
609,Hong Chau,3,1,16.0
610,Jake Ryan,3,1,20.0
611,Jeff Goldblum,3,1,21.0
612,Joel Courtney,2,1,1.0
613,Anna Barlow,2,1,2.0
614,Kimberly Williams-Paisley,2,1,3.0
615,Jonathan Roumie,2,1,4.0
616,Kelsey Grammer,2,1,5.0
617,DeVon Franklin,2,1,6.0
618,Jamie Campbell Bower,2,2,9.5
619,Kevin Costner,1,1,1.0
620,Sienna Miller,1,1,3.0
621,Jena Malone,1,1,4.0
622,Luke Wilson,1,1,5.0
623,Ella Hunt,1,1,8.0
624,Tom Payne,1,1,9.0
625,Tatanka Means,1,1,10.0
626,Abbey Lee,1,1,11.0
627,Owen Crow Shoe,1,1,12.0
