name,actors
Boogie Nights,"['Mark Wahlberg', 'Julianne Moore', 'Burt Reynolds', 'Don Cheadle', 'John C. Reilly', 'William H. Macy', 'Heather Graham', 'Nicole Parker', 'Philip Seymour Hoffman']"
Booty Call,"['Jamie Foxx', 'Tommy Davidson', 'Vivica A. Fox', 'Tamala Jones']"
Boys Life 2,"['Milo Ventimiglia', ""Vincent D'Onofrio"", 'Mary Beth Hurt']"
Buffalo '66,"['Vincent Gallo', 'Christina Ricci', 'Ben Gazzara', 'Kevin Corrigan', 'Mickey Rourke', 'Rosanna Arquette', 'Jan-Michael Vincent', 'Anjelica Huston']"
Bulworth,"['Warren Beatty', 'Halle Berry', 'Don Cheadle', 'Oliver Platt', 'Paul Sorvino', 'Jack Warden', 'Isaiah Washington']"
Life Is Beautiful,"['Roberto Benigni', 'Nicoletta Braschi']"
Live Flesh,"['Javier Bardem', 'Francesca Neri', 'Liberto Rabal', 'Ángela Molina', 'José Sancho', 'Penélope Cruz', 'Pilar Bardem']"
Cats Don't Dance,"['Scott Bakula', 'Jasmine Guy', 'John Rhys-Davies']"
Chasing Amy,"['Ben Affleck', 'Joey Lauren Adams', 'Jason Lee', 'Dwight Ewell', 'Jason Mewes']"
Children of Heaven,"['Mohammad Amir Naji', 'Amir Farrokh Hashemian', 'Bahare Seddiqi']"
City of Industry,"['Harvey Keitel', 'Stephen Dorff', 'Timothy Hutton', 'Famke Janssen', 'Wade Dominguez']"
Clockwatchers,"['Toni Collette', 'Parker Posey', 'Lisa Kudrow', 'Alanna Ubach', 'Paul Dooley']"
Cold Around the Heart,"['David Caruso', 'Kelly Lynch', 'Stacey Dash', 'Chris Noth', 'John Spencer']"
Con Air,"['Nicolas Cage', 'John Cusack', 'John Malkovich', 'Steve Buscemi', 'Ving Rhames', 'Colm Meaney', 'Mykelti Williamson', 'Rachel Ticotin']"
Conspiracy Theory,"['Mel Gibson', 'Julia Roberts', 'Patrick Stewart']"
Cop Land,"['Sylvester Stallone', 'Harvey Keitel', 'Ray Liotta', 'Robert De Niro', 'Peter Berg', 'Janeane Garofalo', 'Robert Patrick', 'Michael Rapaport', 'Annabella Sciorra']"
Dangerous Beauty,"['Catherine McCormack', 'Rufus Sewell', 'Oliver Platt', 'Moira Kelly', 'Fred Ward', 'Jacqueline Bisset']"
"Dancer, Texas Pop. 81","['Breckin Meyer', 'Peter Facinelli', 'Ethan Embry', 'Eddie Mills']"
The Dancer Upstairs,"['Javier Bardem', 'Juan Diego Botto', 'Laura Morante', 'Elvira Mínguez', 'Wolframio Sinué']"
Dante's Peak,"['Pierce Brosnan', 'Linda Hamilton', 'Charles Hallahan']"
Deconstructing Harry,"['Caroline Aaron', 'Woody Allen', 'Kirstie Alley', 'Bob Balaban', 'Richard Benjamin', 'Eric Bogosian', 'Billy Crystal', 'Judy Davis', 'Hazelle Goodman', 'Mariel Hemingway', 'Amy Irving', 'Julie Kavner', 'Eric Lloyd', 'Julia Louis-Dreyfus', 'Tobey Maguire', 'Demi Moore', 'Elisabeth Shue', 'Stanley Tucci', 'Robin Williams']"
Deep Rising,"['Treat Williams', 'Famke Janssen', 'Anthony Heald', ""Kevin J. O'Connor"", 'Wes Studi', ""Derrick O'Connor"", 'Jason Flemyng', 'Djimon Hounsou']"
Desperate Measures,"['Michael Keaton', 'Andy García', 'Brian Cox', 'Marcia Gay Harden']"
The Devil's Own,"['Harrison Ford', 'Brad Pitt', 'Margaret Colin', 'Rubén Blades', 'Treat Williams', 'George Hearn']"
Digging to China,"['Kevin Bacon', 'Mary Stuart Masterson', 'Cathy Moriarty', 'Evan Rachel Wood']"
Dil To Pagal Hai,"['Shah Rukh Khan', 'Madhuri Dixit', 'Karisma Kapoor', 'Akshay Kumar']"
Doctor Dolittle,"['Rex Harrison', 'Samantha Eggar', 'Anthony Newley', 'Richard Attenborough']"
