name,actors
The Danish Girl,"['Eddie Redmayne', 'Alicia Vikander', 'Ben Whishaw', 'Sebastian Koch', 'Amber Heard', 'Matthias Schoenaerts']"
Death Note 2: The Last Name,"['Tatsuya Fujiwara', 'Kenichi Matsuyama', 'Erika Toda', 'Shunji Fujimura', 'Takeshi Kaga', 'Nana Katase', 'Shidou Nakamura', 'Shinnosuke Ikehata']"
Take Me Home Tonight,"['Topher Grace', 'Anna Faris', 'Dan Fogler', 'Teresa Palmer']"
Shootout at Lokhandwala,[]
Speed Racer,"['Emile Hirsch', 'Christina Ricci', 'John Goodman', 'Susan Sarandon', 'Matthew Fox', 'Benno Fürmann', 'Hiroyuki Sanada', 'Rain', 'Richard Roundtree']"
The Ten,[]
The Love Guru,[]
Ex Drummer,[]
Percy Jackson & the Olympians:The Lightning Thief,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Sean Bean', 'Pierce Brosnan', 'Steve Coogan', 'Rosario Dawson', 'Catherine Keener', 'Kevin McKidd', 'Joe Pantoliano', 'Uma Thurman']"
Seven Pounds,"['Will Smith', 'Rosario Dawson', 'Michael Ealy', 'Barry Pepper', 'Woody Harrelson']"
She's Out of My League,"['Jay Baruchel', 'Alice Eve', 'T.J. Miller', 'Mike Vogel', 'Nate Torrence', 'Krysten Ritter', 'Geoff Stults', 'Lindsay Sloane']"
Sydney White,"['Amanda Bynes', 'Sara Paxton', 'Matt Long', 'Jack Carpenter', 'Jeremy Howard', 'John Schneider']"
The Book Thief,"['Geoffrey Rush', 'Emily Watson', 'Sophie Nélisse']"
Kabluey,"['Lisa Kudrow', 'Scott Prendergast', 'Teri Garr', 'Christine Taylor']"
Interstellar,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Bill Irwin', 'Ellen Burstyn', 'Michael Caine']"
World War Z,"['Brad Pitt', 'Mireille Enos', 'James Badge Dale', 'Matthew Fox']"
Secret Sunshine,[]
Drillbit Taylor,"['Owen Wilson', 'Leslie Mann', 'Danny McBride', 'Josh Peck']"
Never Forever,"['Vera Farmiga', 'Ha Jung-woo', 'David Lee McInnis']"
The Power of Few,[]
A Dirty Carnival,[]
Ghosts of Girlfriends Past,"['Matthew McConaughey', 'Jennifer Garner', 'Breckin Meyer', 'Lacey Chabert', 'Robert Forster', 'Anne Archer', 'Emma Stone', 'Michael Douglas']"
The Soloist,"['Jamie Foxx', 'Robert Downey Jr.', 'Catherine Keener', 'Tom Hollander', 'LisaGay Hamilton']"
Marley & Me,"['Owen Wilson', 'Jennifer Aniston', 'Eric Dane', 'Alan Arkin']"
Rails & Ties,[]
Changeling,"['Angelina Jolie', 'John Malkovich']"
The Bucket List,"['Jack Nicholson', 'Morgan Freeman', 'Sean Hayes', 'Rob Morrow']"
Counter Investigation,[]
Maximum Ride,"['Allie Marie Evans', 'Patrick Johnson', 'Lyliana Wray', 'Luke Gregory Crosby', 'Gavin Lewis', 'Tetona Jackson', 'Zayne Emory', 'Carrie Wampler', ""Peter O'Brien""]"
Pandemic,"['Rachel Nichols', 'Alfie Allen', 'Paul Guilfoyle', 'Pat Healy', 'Danielle Rose Russell', 'Missi Pyle', 'Mekhi Phifer']"
Moondance Alexander,"['Kay Panabaker', 'Don Johnson', 'Lori Loughlin']"
And When Did You Last See Your Father?,[]
Dracula Untold,"['Luke Evans', 'Dominic Cooper', 'Sarah Gadon', 'Charles Dance']"
"Me & You, Us, Forever",[]
A Mighty Heart,"['Angelina Jolie', 'Dan Futterman', 'Irrfan Khan', 'Archie Panjabi', 'Will Patton']"
Superbad,"['Jonah Hill', 'Michael Cera', 'Seth Rogen', 'Bill Hader']"
Quantum of Solace,"['Daniel Craig', 'Olga Kurylenko', 'Mathieu Amalric', 'Giancarlo Giannini', 'Jeffrey Wright', 'Judi Dench']"
I Can't Think Straight,"['Lisa Ray', 'Sheetal Sheth']"
"Definitely, Maybe","['Ryan Reynolds', 'Isla Fisher', 'Derek Luke', 'Abigail Breslin', 'Elizabeth Banks', 'Rachel Weisz']"
Manufactured Landscapes,[]
Underworld: Rise of the Lycans,"['Michael Sheen', 'Bill Nighy', 'Rhona Mitra', 'Steven Mackintosh', 'Kevin Grevioux']"
Hotel Transylvania,"['Adam Sandler', 'Andy Samberg', 'Selena Gomez', 'Kevin James', 'Fran Drescher', 'Steve Buscemi', 'Molly Shannon', 'David Spade', 'CeeLo Green']"
Fashion Victims,[]
The Darjeeling Limited,"['Owen Wilson', 'Adrien Brody', 'Jason Schwartzman', 'Irrfan Khan']"
The Pink Panther 2,"['Steve Martin', 'Jean Reno', 'Alfred Molina', 'Emily Mortimer', 'Aishwarya Rai Bachchan', 'Andy García', 'Lily Tomlin', 'John Cleese']"
Street Dreams,[]
After.Life,[]
Step Brothers,"['Will Ferrell', 'John C. Reilly', 'Richard Jenkins', 'Mary Steenburgen', 'Adam Scott', 'Kathryn Hahn']"
Semi-Pro,[]
The Perfect Holiday,[]
Walk Hard: The Dewey Cox Story,"['John C. Reilly', 'Tim Meadows', 'Jenna Fischer', 'Kristen Wiig']"
Lake of Fire,[]
The Kids Are All Right,[]
Paranoid Park,[]
The Brothers Bloom,"['Rachel Weisz', 'Adrien Brody', 'Mark Ruffalo', 'Rinko Kikuchi', 'Maximilian Schell', 'Robbie Coltrane']"
North Face,[]
Cloudy with a Chance of Meatballs,"['Bill Hader', 'Anna Faris', 'James Caan', 'Andy Samberg', 'Bruce Campbell', 'Mr. T', ""Bobb'e J. Thompson"", 'Benjamin Bratt', 'Neil Patrick Harris', 'Al Roker', 'Lauren Graham', 'Will Forte']"
The Last House on the Left,"['David Hess', 'Lucy Grantham', 'Sandra Cassel', 'Marc Sheffler', 'Ada Washington']"
Son of Rambow,"['Bill Milner', 'Will Poulter', 'Jules Sitruk', 'Jessica Hynes', 'Neil Dudgeon', 'Anna Wing', 'Ed Westwick', 'Eric Sykes', 'Chris Miles']"
My Brother Is an Only Child(Mio fratello è figlio unico),[]
Kit Kittredge: An American Girl,"['Abigail Breslin', 'Julia Ormond', ""Chris O'Donnell"", 'Glenne Headly', 'Jane Krakowski', 'Wallace Shawn', 'Joan Cusack', 'Stanley Tucci']"
Cargo 200,[]
The Stone Angel,[]
Kung Fu Dunk,[]
Diary of the Dead,"['Michelle Morgan', 'Josh Close', 'Shawn Roberts', 'Amy Lalonde', 'Joe Dinicol', 'Scott Wentworth', 'Philip Riccio', 'Chris Violette', 'Tatiana Maslany']"
Battle in Seattle,"['André Benjamin', 'Jennifer Carpenter', 'Woody Harrelson', 'Martin Henderson', 'Ray Liotta', 'Ivana Miličević', 'Channing Tatum', 'Connie Nielsen', 'Michelle Rodriguez', 'Charlize Theron']"
The House Bunny,"['Anna Faris', 'Colin Hanks', 'Emma Stone']"
Smart People,[]
Battle for Terra,"['Evan Rachel Wood', 'Brian Cox', 'James Garner', 'Chris Evans', 'Danny Glover', 'Amanda Peet', 'David Cross', 'Justin Long', 'Dennis Quaid', 'Luke Wilson']"
The Mummy:  Tomb of the Dragon Emperor,"['Brendan Fraser', 'Jet Li', 'Maria Bello', 'John Hannah', 'Michelle Yeoh', 'Russell Wong', 'Liam Cunningham', 'Luke Ford', 'Isabella Leong']"
Super Troopers 2,"['Jay Chandrasekhar', 'Kevin Heffernan', 'Steve Lemme', 'Paul Soter', 'Erik Stolhanske', 'Rob Lowe', 'Brian Cox']"
Evangelion: 2.0 You Can (Not) Advance.,"['Megumi Ogata', 'Megumi Hayashibara', 'Yuko Miyamura', 'Maaya Sakamoto', 'Fumihiko Tachiki', 'Kotono Mitsuishi', 'Kouichi Yamadera']"
Evangelion: 3.0 You Can (Not) Redo,[]
Elite Squad,[]
Valhalla Rising,['Mads Mikkelsen']
Lupin III,"['Shun Oguri', 'Jerry Yan', 'Tetsuji Tamayama', 'Gō Ayano', 'Meisa Kuroki', 'Tadanobu Asano', 'Kim Joon', 'Thanayong Wongtrakul', 'Nirut Sirijanya', 'Nick Tate']"
Sunshine Cleaning,"['Amy Adams', 'Emily Blunt', 'Jason Spevack', 'Mary Lynn Rajskub', 'Clifton Collins, Jr.', 'Eric Christian Olsen', 'Kevin Chapman', 'Steve Zahn', 'Alan Arkin']"
The Duchess,[]
Mr. Peabody & Sherman,"['Ty Burrell', 'Max Charles', 'Ariel Winter', 'Stephen Colbert', 'Leslie Mann', 'Allison Janney']"
The Black Balloon,[]
The Forbidden Kingdom,"['Jackie Chan', 'Jet Li', 'Michael Angarano', 'Collin Chou', 'Liu Yifei', 'Li Bingbing']"
My Life in Ruins,"['Nia Vardalos', 'Richard Dreyfuss', 'María Adánez', 'Sheila Bernette', 'María Botto', 'Rachel Dratch', 'Alexis Georgoulis', 'Ralph Nossek', 'Bernice Stegers', 'Harland Williams']"
The Jane Austen Book Club,"['Maria Bello', 'Emily Blunt', 'Kathy Baker', 'Amy Brenneman', 'Maggie Grace', 'Hugh Dancy', 'Kevin Zegers', 'Marc Blucas', 'Jimmy Smits', 'Lynn Redgrave']"
Made of Honor,"['Patrick Dempsey', 'Michelle Monaghan', 'Kevin McKidd', 'Kathleen Quinlan', 'Sydney Pollack']"
City of Men,"['Darlan Cunha', 'Douglas Silva', 'Jonathan Haagensen', 'Rodrigo dos Santos', 'Camila Monteiro', 'Naima Silva', 'Eduardo Br', 'Luciano Vidigal', 'Pedro Henrique', 'Vítor Olivera', 'Vincus Olivera']"
Frost/Nixon,"['Frank Langella', 'Michael Sheen', 'Kevin Bacon', 'Rebecca Hall', 'Toby Jones', 'Matthew Macfadyen', 'Oliver Platt', 'Sam Rockwell']"
Jungle Cruise,"['Dwayne Johnson', 'Emily Blunt', 'Édgar Ramírez', 'Jack Whitehall', 'Jesse Plemons', 'Paul Giamatti']"
Antichrist,"['Willem Dafoe', 'Charlotte Gainsbourg']"
Baby Mama,"['Tina Fey', 'Amy Poehler', 'Greg Kinnear', 'Dax Shepard', 'Romany Malco', 'Maura Tierney', 'Holland Taylor', 'Sigourney Weaver']"
Chak De! India,"['Shah Rukh Khan', 'Vidya Malvade', 'Shilpa Shukla', 'Sagarika Ghatge', 'Chitrashi Rawat', 'Anjan Srivastav', 'Vibha Chibber']"
My Soul to Take,"['Max Thieriot', 'Denzel Whitaker', 'Raul Esparza', 'Shareeka Epps']"
Natale a New York,"['Christian De Sica', 'Sabrina Ferilli', 'Massimo Ghini', 'Claudio Bisio', 'Elisabetta Canalis', 'Alessandro Siani', 'Fabio De Luigi', 'Paolo Ruffini', 'Francesco Mandelli']"
Tazza: The High Rollers,[]
Ponyo,"['Tomoko Yamaguchi', 'Kazushige Nagashima', 'Yūki Amami', 'George Tokoro', 'Yuria Nara', 'Hiroki Doi', 'Rumi Hiiragi', 'Akiko Yano', 'Kazuko Yoshiyuki', 'Tomoko Naraoka']"
The Blind Side,"['Sandra Bullock', 'Tim McGraw', 'Quinton Aaron', 'Kathy Bates']"
Katyń,"['Andrzej Chyra', 'Maja Ostaszewska', 'Artur Żmijewski', 'Danuta Stenka', 'Jan Englert', 'Magdalena Cielecka', 'Agnieszka Glińska', 'Paweł Małaszyński', 'Maja Komorowska', 'Władysław Kowalski', 'Sergei Garmash']"
Eat Pray Love,"['Julia Roberts', 'James Franco', 'Richard Jenkins', 'Viola Davis', 'Billy Crudup', 'Javier Bardem']"
The Edge of Heaven,"['Nurgül Yeşilçay', 'Baki Davrak', 'Tuncel Kurtiz', 'Hanna Schygulla', 'Patrycia Ziolkowska', 'Nursel Köse']"
Untraceable,"['Diane Lane', 'Billy Burke', 'Colin Hanks', 'Joseph Cross', 'Mary Beth Hurt']"
Assembly,[]
Sanctum,"['Richard Roxburgh', 'Rhys Wakefield', 'Alice Parkinson', 'Dan Wyllie', 'Ioan Gruffudd']"
All About Steve,"['Sandra Bullock', 'Thomas Haden Church', 'Bradley Cooper']"
Chinthamani Kolacase,"['Suresh Gopi', 'Bhavana', 'Thilakan', 'Biju Menon', 'Kalabhavan Mani']"
Snitch,"['Dwayne Johnson', 'Barry Pepper', 'Jon Bernthal', 'Michael K. Williams', 'Melina Kanakaredes', 'Nadine Velazquez', 'Rafi Gavron', 'David Harbour', 'Benjamin Bratt', 'Susan Sarandon']"
"War, Inc.","['John Cusack', 'Hilary Duff', 'Marisa Tomei', 'Joan Cusack', 'Dan Aykroyd', 'Ben Kingsley']"
The Mist,"['Thomas Jane', 'Marcia Gay Harden', 'Laurie Holden', 'Andre Braugher', 'Toby Jones']"
The Wedding Ringer,"['Kevin Hart', 'Josh Gad', 'Kaley Cuoco', 'Ken Howard', 'Cloris Leachman', 'Jenifer Lewis', 'Mimi Rogers', 'Olivia Thirlby']"
Luck by Chance,[]
Pazhassi Raja,[]
Burn After Reading,"['George Clooney', 'Frances McDormand', 'John Malkovich', 'Tilda Swinton', 'Richard Jenkins', 'Brad Pitt']"
The Hurt Locker,"['Jeremy Renner', 'Anthony Mackie', 'Brian Geraghty', 'Evangeline Lilly', 'Ralph Fiennes', 'David Morse', 'Guy Pearce']"
While She Was Out,[]
Last Minute Marocco,[]
Sleepwalking,[]
Brüno,[]
The Children of Huang Shi,"['Jonathan Rhys Meyers', 'Radha Mitchell', 'Chow Yun-fat', 'Michelle Yeoh', 'David Wenham']"
Saw IV,"['Tobin Bell', 'Scott Patterson', 'Costas Mandylor', 'Betsy Russell', 'Lyriq Bent']"
Lions for Lambs,"['Robert Redford', 'Meryl Streep', 'Tom Cruise', 'Michael Peña', 'Andrew Garfield', 'Peter Berg', 'Derek Luke']"
Street Fighter: The Legend of Chun-Li,[]
Letters to Juliet,"['Amanda Seyfried', 'Christopher Egan', 'Gael García Bernal', 'Vanessa Redgrave', 'Franco Nero']"
U2 3D,"['Bono', 'The Edge', 'Adam Clayton', 'Larry Mullen Jr.']"
Horsemen,"['Dennis Quaid', 'Zhang Ziyi', 'Lou Taylor Pucci', 'Clifton Collins, Jr.', 'Patrick Fugit', 'Peter Stormare']"
Shrek Forever After,"['Mike Myers', 'Eddie Murphy', 'Cameron Diaz', 'Antonio Banderas', 'Julie Andrews', 'John Cleese', 'Walt Dohrn']"
From Prada to Nada,"['Camilla Belle', 'Alexa Vega', 'Wilmer Valderrama', ""Nicholas D'Agosto"", 'April Bowlby', 'Kuno Becker', 'Adriana Barraza']"
Kill Theory,[]
Cairo Time,[]
I Know Who Killed Me,"['Lindsay Lohan', 'Julia Ormond', 'Neal McDonough', 'Brian Geraghty']"
Just Follow Law,"['Fann Wong', 'Gurmit Singh']"
100 Feet,[]
Franz + Polina,[]
Boogeyman 2,"['Danielle Savre', 'Matt Cohen', 'David Gallagher', 'Mae Whitman', ""Renee O'Connor"", 'Tobin Bell']"
Bride Wars,"['Kate Hudson', 'Anne Hathaway', 'Kristen Johnston', 'Bryan Greenberg', 'Candice Bergen']"
The Hobbit: An Unexpected Journey,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'James Nesbitt', 'Ken Stott', 'Cate Blanchett', 'Ian Holm', 'Christopher Lee', 'Hugo Weaving', 'Elijah Wood', 'Andy Serkis']"
Why Did I Get Married?,"['Tyler Perry', 'Janet Jackson', 'Jill Scott', 'Malik Yoba', 'Richard T. Jones', 'Michael Jai White', 'Lamman Rucker', 'Sharon Leal', 'Tasha Smith', 'Denise Boutte']"
Sukiyaki Western Django,[]
Gloss,"['Julia Vysotskaya', 'Juris Lauciņš', 'Efim Shifrin']"
Cherry Blossoms,[]
Breakfast with Scot,[]
Pineapple Express,"['Seth Rogen', 'James Franco', 'Gary Cole', 'Rosie Perez', 'Danny McBride']"
WALL-E,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver']"
Broken Embraces,"['Penélope Cruz', 'Lluís Homar', 'Blanca Portillo', 'José Luis Gómez', 'Rubén Ochandiano', 'Tamar Novas']"
Quiet City,[]
Bottle Shock,[]
Jackboots on Whitehall,"['Ewan McGregor', 'Rosamund Pike', 'Alan Cumming', 'Timothy Spall', 'Tom Wilkinson', 'Sanjeev Bhaskar', 'Richard E. Grant', 'Pam Ferris', ""Richard O'Brien"", 'Richard Griffiths', 'Hugh Fraser', 'Tobias Menzies', 'Stephen Merchant', 'Dominic West']"
Fishtales,[]
The Legend of Tarzan,"['Alexander Skarsgård', 'Samuel L. Jackson', 'Margot Robbie', 'Djimon Hounsou', 'Jim Broadbent', 'Christoph Waltz']"
Baghead,"['Ross Partridge', 'Steve Zissis', 'Greta Gerwig', 'Elise Muller']"
Evangelion: 1.0 You Are (Not) Alone,"['Megumi Ogata', 'Megumi Hayashibara', 'Kotono Mitsuishi', 'Yuriko Yamaguchi', 'Fumihiko Tachiki', 'Motomu Kiyokawa']"
Crossing Over,"['Harrison Ford', 'Ray Liotta', 'Jim Sturgess', 'Ashley Judd']"
Ninnu Choodalani,[]
Harry Potter and the Deathly Hallows – Part 1,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Helena Bonham Carter', 'Robbie Coltrane', 'Warwick Davis', 'Ralph Fiennes', 'Michael Gambon', 'Brendan Gleeson', 'Richard Griffiths', 'John Hurt', 'Jason Isaacs', 'Alan Rickman', 'Fiona Shaw', 'Timothy Spall', 'Imelda Staunton', 'David Thewlis', 'Julie Walters']"
The First Day of the Rest of Your Life,[]
Naked Boys Singing!,"['Kevin Alexander Stea', 'Joe Souza', 'Phong Truong', 'Andrew Blake Ames', 'Anthony Manough', 'Salvatore Vassallo', 'Vincent Zamora', 'Joseph Keane', 'Jason Currie', 'Jaymes Hodges']"
Gomorrah,[]
"Precious: Based on the Novel ""Push"" by Sapphire",[]
Transylmania,[]
Taken,"['Liam Neeson', 'Maggie Grace', 'Leland Orser', 'Jon Gries', 'David Warshofsky', 'Katie Cassidy', 'Holly Valance', 'Famke Janssen']"
Redacted,"['Zahra Alzubaidi', 'Ty Jones', ""Kel O'Neill"", 'Daniel Stewart Sherman', 'Izzy Diaz', 'Rob Devaney', 'Patrick Carroll']"
The Devil's Flower,"['Olga Khokhlova', 'Sergey Krapiventsev', 'Oleg Sukachenko']"
The Last Airbender,"['Noah Ringer', 'Dev Patel', 'Nicola Peltz', 'Jackson Rathbone', 'Shaun Toub', 'Aasif Mandvi', 'Cliff Curtis']"
CJ7,[]
Tropic Thunder,"['Ben Stiller', 'Jack Black', 'Robert Downey Jr.', 'Steve Coogan', 'Jay Baruchel', 'Danny McBride', 'Brandon T. Jackson', 'Bill Hader', 'Nick Nolte']"
The Matriarch,"['Peter Franzén', 'Sanna-Kaisa Palo', 'Samuli Vauramo', 'Jenni Banerjee', 'Heikki Kinnunen']"
Dragon Hunters,[]
Source Code,"['Jake Gyllenhaal', 'Michelle Monaghan', 'Vera Farmiga', 'Jeffrey Wright']"
Black Swan,"['Natalie Portman', 'Vincent Cassel', 'Mila Kunis', 'Barbara Hershey', 'Winona Ryder']"
Lakeview Terrace,"['Samuel L. Jackson', 'Patrick Wilson', 'Kerry Washington', 'Jay Hernandez']"
Green Zone,"['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson', 'Amy Ryan', 'Khalid Abdalla', 'Jason Isaacs']"
The Amazing Spider-Man,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott', 'Irrfan Khan', 'Martin Sheen', 'Sally Field']"
"Moscow, Belgium",[]
Paris 36,[]
Winged Creatures,[]
Lost in Beijing,[]
The Missing Lynx,[]
Alvin and the Chipmunks,"['Jason Lee', 'David Cross', 'Cameron Richardson', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney']"
Ben X,"['Greg Timmermans', 'Laura Verlinden', 'Marijke Pinoy']"
Always: Sunset on Third Street 2,[]
Nights in Rodanthe,"['Richard Gere', 'Diane Lane', 'Scott Glenn', 'Christopher Meloni', 'Viola Davis']"
Revolutionary Road,"['Leonardo DiCaprio', 'Kate Winslet', 'Michael Shannon', 'Kathryn Hahn', 'David Harbour', 'Kathy Bates']"
You Don't Mess with the Zohan,"['Adam Sandler', 'John Turturro', 'Emmanuelle Chriqui', 'Nick Swardson', 'Lainie Kazan', 'Rob Schneider']"
Bedtime Stories,"['Adam Sandler', 'Keri Russell', 'Guy Pearce', 'Richard Griffiths', 'Jonathan Pryce', 'Courteney Cox', 'Lucy Lawless', 'Teresa Palmer']"
Rabbit Without Ears(Keinohrhasen),[]
Come tu mi vuoi,[]
A Monster in Paris,"['-M-', 'Vanessa Paradis']"
The Anarchist's Wife,"['Juan Diego Botto', 'María Valverde', 'Ivana Baquero']"
High School Musical 3:  Senior Year,"['Zac Efron', 'Vanessa Hudgens', 'Ashley Tisdale', 'Lucas Grabeel', 'Corbin Bleu', 'Monique Coleman']"
The Young Victoria,"['Emily Blunt', 'Rupert Friend', 'Paul Bettany', 'Miranda Richardson', 'Jim Broadbent', 'Thomas Kretschmann', 'Mark Strong', 'Jesper Christensen', 'Harriet Walter']"
Repo! The Genetic Opera,"['Alexa Vega', 'Anthony Stewart Head', 'Sarah Brightman', 'Paris Hilton', 'Nivek Ogre', 'Terrance Zdunich', 'Bill Moseley', 'Paul Sorvino']"
"Angus, Thongs and Perfect Snogging","['Georgia Groome', 'Alan Davies', 'Karen Taylor', 'Aaron Johnson', 'Eleanor Tomlinson']"
The Ruins,"['Jonathan Tucker', 'Jena Malone', 'Shawn Ashmore', 'Laura Ramsey', 'Joe Anderson']"
Tetro,"['Vincent Gallo', 'Alden Ehrenreich', 'Maribel Verdú', 'Klaus Maria Brandauer', 'Carmen Maura']"
The Fighter,"['Mark Wahlberg', 'Christian Bale', 'Amy Adams', 'Melissa Leo']"
St Trinian's,"['Rupert Everett', 'Colin Firth', 'Lena Headey', 'Gemma Arterton', 'Jodie Whittaker', 'Russell Brand', 'Stephen Fry', 'Celia Imrie', 'Toby Jones', 'Talulah Riley', 'Mischa Barton']"
Case Closed: The Fourteenth Target,"['Minami Takayama', 'Kappei Yamaguchi', 'Akira Kamiya', 'Wakana Yamazaki', 'Gara Takashima', 'Chafurin', 'Kenichi Ogata', 'Kenji Utsumi', 'Ryuusei Nakao', 'Hirotaka Suzuoki', 'Maya Okamoto', 'Takashi Taniguchi']"
The Conspirator,[]
Hugo,"['Ben Kingsley', 'Sacha Baron Cohen', 'Asa Butterfield', 'Chloë Grace Moretz', 'Ray Winstone', 'Emily Mortimer', 'Jude Law']"
City of Ember,"['Saoirse Ronan', 'Harry Treadaway', 'Mary Kay Place', 'Bill Murray', 'Martin Landau', 'Toby Jones', 'Tim Robbins']"
The Day the Earth Stood Still,"['Michael Rennie', 'Patricia Neal', 'Hugh Marlowe', 'Sam Jaffe', 'Billy Gray', 'Frances Bavier', 'Lock Martin']"
Solomon Kane,"['James Purefoy', 'Max von Sydow', 'Rachel Hurd-Wood', 'Pete Postlethwaite']"
Miss Pettigrew Lives for a Day,[]
Little Fockers,"['Robert De Niro', 'Ben Stiller', 'Owen Wilson', 'Blythe Danner', 'Teri Polo', 'Jessica Alba', 'Laura Dern', 'Harvey Keitel', 'Dustin Hoffman', 'Barbra Streisand']"
A Perfect Getaway,"['Timothy Olyphant', 'Milla Jovovich', 'Kiele Sanchez', 'Steve Zahn', 'Marley Shelton', 'Chris Hemsworth']"
Justice League,"['Ben Affleck', 'Henry Cavill', 'Gal Gadot', 'Ezra Miller', 'Jason Momoa', 'Ray Fisher', 'Amy Adams', 'Jeremy Irons', 'Diane Lane', 'Ciarán Hinds', 'Connie Nielsen', 'J. K. Simmons']"
Elegy,"['Penélope Cruz', 'Ben Kingsley', 'Peter Sarsgaard', 'Patricia Clarkson', 'Dennis Hopper']"
17 Again,"['Zac Efron', 'Leslie Mann', 'Thomas Lennon', 'Michelle Trachtenberg', 'Matthew Perry']"
Hitchcock,"['Anthony Hopkins', 'Helen Mirren', 'Scarlett Johansson', 'Toni Collette', 'Danny Huston', 'Jessica Biel', ""James D'Arcy"", 'Michael Wincott']"
Bandslam,"['Aly Michalka', 'Vanessa Hudgens', 'Gaelan Connell', 'Scott Porter', 'Lisa Kudrow']"
Old Dogs,[]
"Surfer, Dude","['Matthew McConaughey', 'Alexie Gilmore', 'Scott Glenn', 'Jeffrey Nordling', 'Willie Nelson', 'Woody Harrelson', 'Sarah Wright']"
Hero Wanted,"['Cuba Gooding Jr.', 'Ray Liotta', 'Kim Coates', 'Norman Reedus', 'Jean Smart', 'Christa Campbell', 'Ben Cross', 'Tommy Flanagan', 'Sammi Hanratty']"
Frozen River,[]
Mary and Max,[]
The Chronicles of Narnia: The Voyage of the Dawn Treader,"['Georgie Henley', 'Skandar Keynes', 'Ben Barnes', 'Will Poulter', 'Tilda Swinton']"
Like Dandelion Dust,"['Mira Sorvino', 'Barry Pepper', 'Cole Hauser', 'Kate Levering', 'Maxwell Perry Cotton', 'L. Scott Caldwell']"
Nick & Norah's Infinite Playlist,"['Michael Cera', 'Kat Dennings', 'Alexis Dziena', 'Ari Graynor', 'Aaron Yoo', 'Jay Baruchel']"
The Adventures of Tintin,"['Jamie Bell', 'Andy Serkis', 'Daniel Craig']"
Fantasy Island,"['Michael Peña', 'Maggie Q', 'Lucy Hale', 'Austin Stowell', 'Jimmy O. Yang', 'Ryan Hansen', 'Portia Doubleday', 'Michael Rooker']"
Kadhal Kottai,[]
My Mighty Princess,[]
Valkyrie,"['Tom Cruise', 'Kenneth Branagh', 'Bill Nighy', 'Tom Wilkinson', 'Carice van Houten', 'Thomas Kretschmann', 'Terence Stamp']"
Aaja Nachle,[]
Surrogates,"['Bruce Willis', 'Radha Mitchell', 'Rosamund Pike', 'Boris Kodjoe', 'James Cromwell', 'Ving Rhames']"
Taare Zameen Par,[]
Mungaru Male,"['Ganesh', 'Pooja Gandhi']"
Traitor,"['Don Cheadle', 'Guy Pearce', 'Said Taghmaoui', 'Neal McDonough', 'Alyy Khan', 'Jeff Daniels']"
27 Dresses,"['Katherine Heigl', 'James Marsden', 'Malin Åkerman', 'Judy Greer', 'Edward Burns']"
Sarah Landon and the Paranormal Hour,[]
Yakuza: Like a Dragon,"['Kazuki Kitamura', 'Goro Kishitani', 'Show Aikawa', 'Yoshiyoshi Arakawa', 'Kenichi Endō', 'Tomorowo Taguchi']"
Flash Point,[]
A Christmas Tale,"['Catherine Deneuve', 'Jean-Paul Roussillon', 'Mathieu Amalric', 'Anne Consigny', 'Melvil Poupaud', 'Emmanuelle Devos', 'Chiara Mastroianni']"
Army of the Dead,"['Dave Bautista', 'Ella Purnell', 'Omari Hardwick', 'Ana de la Reguera', 'Theo Rossi', 'Matthias Schweighöfer', 'Nora Arnezeder', 'Hiroyuki Sanada', 'Tig Notaro', 'Raúl Castillo', 'Huma Qureshi', 'Garret Dillahunt']"
Hanna,"['Saoirse Ronan', 'Eric Bana', 'Tom Hollander', 'Olivia Williams', 'Jason Flemyng', 'Cate Blanchett']"
XXY,"['Ricardo Darín', 'Valeria Bertuccelli', 'Inés Efron', 'Martín Piroyansky', 'Carolina Peleritti']"
A Journal for Jordan,"['Michael B. Jordan', 'Chanté Adams']"
College Road Trip,[]
The Song of Sparrows,[]
Pokémon Rangerand the Temple of the Sea,[]
The Rental,"['Dan Stevens', 'Alison Brie', 'Sheila Vand', 'Jeremy Allen White', 'Toby Huss']"
Prince of Broadway,"['Prince Adu', 'Karren Karagulian']"
Sex and the City,"['Sarah Jessica Parker', 'Kim Cattrall', 'Kristin Davis', 'Cynthia Nixon', 'Jennifer Hudson', 'Candice Bergen', 'Chris Noth']"
The Sholay Girl,[]
He's Just Not That Into You,"['Ben Affleck', 'Jennifer Aniston', 'Drew Barrymore', 'Jennifer Connelly', 'Kevin Connolly', 'Bradley Cooper', 'Ginnifer Goodwin', 'Scarlett Johansson', 'Kris Kristofferson', 'Justin Long']"
